Continent_Name,Continent_Code,Three_Letter_Country_Code,Country_Name
Asia,AS,AFG,"Afghanistan, Islamic Republic of"
Europe,EU,ALB,"Albania, Republic of"
Antarctica,AN,ATA,Antarctica (the territory South of 60 deg S)
Africa,AF,DZA,"Algeria, People's Democratic Republic of"
Oceania,OC,ASM,American Samoa
Europe,EU,AND,"Andorra, Principality of"
Africa,AF,AGO,"Angola, Republic of"
North America,NA,ATG,Antigua and Barbuda
Europe,EU,AZE,"Azerbaijan, Republic of"
Asia,AS,AZE,"Azerbaijan, Republic of"
South America,SA,ARG,"Argentina, Argentine Republic"
Oceania,OC,AUS,"Australia, Commonwealth of"
Europe,EU,AUT,"Austria, Republic of"
North America,NA,BHS,"Bahamas, Commonwealth of the"
Asia,AS,BHR,"Bahrain, Kingdom of"
Asia,AS,BGD,"Bangladesh, People's Republic of"
Europe,EU,ARM,"Armenia, Republic of"
Asia,AS,ARM,"Armenia, Republic of"
North America,NA,BRB,Barbados
Europe,EU,BEL,"Belgium, Kingdom of"
North America,NA,BMU,Bermuda
Asia,AS,BTN,"Bhutan, Kingdom of"
South America,SA,BOL,"Bolivia, Republic of"
Europe,EU,BIH,Bosnia and Herzegovina
Africa,AF,BWA,"Botswana, Republic of"
Antarctica,AN,BVT,Bouvet Island (Bouvetoya)
South America,SA,BRA,"Brazil, Federative Republic of"
North America,NA,BLZ,Belize
Asia,AS,IOT,British Indian Ocean Territory (Chagos Archipelago)
Oceania,OC,SLB,Solomon Islands
North America,NA,VGB,British Virgin Islands
Asia,AS,BRN,Brunei Darussalam
Europe,EU,BGR,"Bulgaria, Republic of"
Asia,AS,MMR,"Myanmar, Union of"
Africa,AF,BDI,"Burundi, Republic of"
Europe,EU,BLR,"Belarus, Republic of"
Asia,AS,KHM,"Cambodia, Kingdom of"
Africa,AF,CMR,"Cameroon, Republic of"
North America,NA,CAN,Canada
Africa,AF,CPV,"Cape Verde, Republic of"
North America,NA,CYM,Cayman Islands
Africa,AF,CAF,Central African Republic
Asia,AS,LKA,"Sri Lanka, Democratic Socialist Republic of"
Africa,AF,TCD,"Chad, Republic of"
