Empresa,Empleados,Año,Industria,País,Ingresos,Ganancias,Activos,Valor de Mercado,Margen de Rentabilidad,ROA,Continente,Codigo_pais
Royal Dutch Shell,94000,2015,Oil & Gas Operations,Netherlands,420371.0,14884.1,353116.0,195380.0,0.03540705709956205,0.04215073800111012,Europe,NLD
Exxon Mobil,83700,2015,Oil & Gas Operations,United States,376240.0,32520.0,349493.0,357094.0,0.08643419094195194,0.09304907394425639,North America,USA
BP,84500,2015,Oil & Gas Operations,United Kingdom,352753.0,3494.4,284305.0,120813.0,0.009906081592502404,0.012291025483195864,Europe,GBR
Toyota Motor,344109,2015,Consumer Durables,Japan,252185.0,19120.4,389693.0,239045.0,0.07581894244304777,0.04906528985637412,Asia,JPN
Total,100307,2015,Oil & Gas Operations,France,211355.0,4244.0,229798.0,120222.0,0.020079960256440585,0.01846839398080053,Europe,FRA
Chevron,64700,2015,Oil & Gas Operations,United States,191755.0,19241.0,266026.0,201029.0,0.10034158170582254,0.07232751685925436,North America,USA
Samsung Electronics,307000,2015,Semiconductors,South Korea,195891.0,21927.8,209637.0,199356.0,0.11193878228198334,0.10459890191139923,Asia,KOR
Berkshire Hathaway,316000,2015,Diversified Financials,United States,194673.0,19872.0,534618.0,354813.0,0.10207887072167172,0.03717046564088751,North America,USA
Apple,97200,2015,Technology Hardware & Equipment,United States,199378.0,44462.0,261894.0,741782.0,0.22300354101254902,0.1697709760437429,North America,USA
McKesson,70400,2015,Drugs & Biotechnology,United States,173962.0,1715.0,55110.0,52257.0,0.009858474839332727,0.03111957902377064,North America,USA
Daimler,279972,2015,Consumer Durables,Germany,172268.0,9234.7,229468.0,103272.0,0.05360658973227762,0.0402439555842209,Europe,DEU
General Motors,216000,2015,Consumer Durables,United States,155929.0,3949.0,177677.0,59036.0,0.025325628972160407,0.022225724207410074,North America,USA
E.ON,58503,2015,Utilities,Germany,147973.0,-4191.6,152091.0,30255.0,-0.028326789346705145,-0.027559816162692076,Europe,DEU
Phillips 66,14000,2015,Oil & Gas Operations,United States,149828.0,4757.0,48741.0,42600.0,0.031749739701524414,0.09759750518044356,North America,USA
General Electric,305000,2015,Conglomerates,United States,148451.0,15218.0,648349.0,253500.0,0.10251193996672303,0.02347192638532642,North America,USA
Gazprom,459600,2015,Oil & Gas Operations,Russia,157974.0,24099.9,356029.0,62486.0,0.15255611682935166,0.06769083417362069,Asia,RUS
Ford Motor,187000,2015,Consumer Durables,United States,144077.0,3187.0,208527.0,63598.0,0.022120116326686423,0.015283392558277825,North America,USA
Petrobras,80908,2015,Oil & Gas Operations,Brazil,143657.0,-7503.0,298687.0,44359.0,-0.05222857222411717,-0.025119941611117993,South America,BRA
China Construction Bank,372321,2015,Banking,China,130473.0,37038.9,2698925.0,212945.0,0.283881722655262,0.013723575127133953,Asia,CHN
CVS Health,177800,2015,Retailing,United States,139367.0,4636.0,74252.0,117421.0,0.033264689632409396,0.062436028659160696,North America,USA
Allianz,147425,2015,Insurance,Germany,128401.0,8250.5,978980.0,82007.0,0.06425573009556,0.008427649185887353,Europe,DEU
AT&T,243620,2015,Telecommunications services,United States,132447.0,6224.0,292829.0,172988.0,0.04699238185840374,0.021254725454104614,North America,USA
Valero Energy,10065,2015,Oil & Gas Operations,United States,130844.0,3630.0,45550.0,30600.0,0.027742961083427595,0.0796926454445664,North America,USA
UnitedHealth Group,170000,2015,Health Care Equipment & Services,United States,130500.0,5619.0,86382.0,112006.0,0.04305747126436782,0.06504827394596097,North America,USA
Agricultural Bank of China,505627,2015,Banking,China,129221.0,29124.5,2574815.0,189879.0,0.22538519280921832,0.01131129809326107,Asia,CHN
China State Construction Engineering,247672,2015,Construction,China,120336.0,3884.6,150625.0,36806.0,0.03228127908522803,0.0257898755186722,Asia,CHN
BNP Paribas,179603,2015,Banking,France,124517.0,208.3,2514192.0,78408.0,0.0016728639462884587,8.284967894257877e-05,Europe,FRA
Honda Motor,204730,2015,Consumer Durables,Japan,117055.0,5625.3,148670.0,61359.0,0.04805689633078467,0.037837492432905094,Asia,JPN
Bank of China,308128,2015,Banking,China,120297.0,27526.8,2458336.0,199130.0,0.22882366143794108,0.011197330226624839,Asia,CHN
AmerisourceBergen,13500,2015,Drugs & Biotechnology,United States,123981.0,35.2,24905.0,24714.0,0.0002839144707656819,0.0014133708090744831,North America,USA
Fannie Mae,7600,2015,Diversified Financials,United States,122346.0,14208.0,3248176.0,2976.0,0.11612966504830563,0.00437414721369778,North America,USA
Kroger,400000,2015,Food Markets,United States,108465.0,1715.0,30556.0,37800.0,0.015811552113585026,0.0561264563424532,North America,USA
SK Holdings,81667,2015,Oil & Gas Operations,South Korea,105289.0,-506.7,84609.0,5458.0,-0.004812468538973682,-0.005988724603765557,Asia,KOR
Credit Agricole,72567,2015,Banking,France,48526.0,3108.7,1922861.0,39952.0,0.0640625643984668,0.0016167055236962005,Europe,FRA
Nissan Motor,149388,2015,Consumer Durables,Japan,106683.0,4286.7,138936.0,45871.0,0.04018165968336098,0.030853774399723612,Asia,JPN
SAIC Motor,92484,2015,Consumer Durables,China,99519.0,4427.1,62135.0,47119.0,0.04448497271877732,0.07124969823770823,Asia,CHN
Tesco,386086,2015,Food Markets,United Kingdom,102641.0,264.2,86040.0,29656.0,0.0025740201284087253,0.0030706648070664808,Europe,GBR
Siemens,357000,2015,Conglomerates,Germany,97369.0,6658.8,131568.0,97671.0,0.06838726904867053,0.05061109084275812,Europe,DEU
Carrefour,381227,2015,Food Markets,France,101232.0,1656.7,55407.0,25200.0,0.01636537853643117,0.02990055408161424,Europe,FRA
Banco Santander,185405,2015,Banking,Spain,56361.0,7714.6,1532282.0,109351.0,0.1368783378577385,0.005034712931431682,Europe,ESP
