Empresa,Industria,País,Ingresos,Ganancias,Activos,Valor de Mercado,Margen de Rentabilidad,ROA,Año,Continente,Codigo_pais
ICBC,Banking,China,166796.0,44757.2,3322043.0,278327.0,0.2683349720616801,0.01347279369953971,2015,Asia,CHN
China Construction Bank,Banking,China,130473.0,37038.9,2698925.0,212945.0,0.283881722655262,0.013723575127133953,2015,Asia,CHN
Agricultural Bank of China,Banking,China,129221.0,29124.5,2574815.0,189879.0,0.22538519280921832,0.01131129809326107,2015,Asia,CHN
Bank of China,Banking,China,120297.0,27526.8,2458336.0,199130.0,0.22882366143794108,0.011197330226624839,2015,Asia,CHN
Berkshire Hathaway,Diversified Financials,United States,194673.0,19872.0,534618.0,354813.0,0.10207887072167172,0.03717046564088751,2015,North America,USA
JPMorgan Chase,Banking,United States,97817.0,21219.0,2593562.0,225451.0,0.2169254833004488,0.008181412281642004,2015,North America,USA
Exxon Mobil,Oil & Gas Operations,United States,376240.0,32520.0,349493.0,357094.0,0.08643419094195194,0.09304907394425639,2015,North America,USA
PetroChina,Oil & Gas Operations,China,333386.0,17388.3,387714.0,334578.0,0.05215665924783884,0.04484826444234668,2015,Asia,CHN
General Electric,Conglomerates,United States,148451.0,15218.0,648349.0,253500.0,0.10251193996672303,0.02347192638532642,2015,North America,USA
Wells Fargo,Banking,United States,90403.0,23057.0,1701408.0,278273.0,0.2550468457905158,0.013551717166017793,2015,North America,USA
Toyota Motor,Consumer Durables,Japan,252185.0,19120.4,389693.0,239045.0,0.07581894244304777,0.04906528985637412,2015,Asia,JPN
Apple,Technology Hardware & Equipment,United States,199378.0,44462.0,261894.0,741782.0,0.22300354101254902,0.1697709760437429,2015,North America,USA
Royal Dutch Shell,Oil & Gas Operations,Netherlands,420371.0,14884.1,353116.0,195380.0,0.03540705709956205,0.04215073800111012,2015,Europe,NLD
Volkswagen Group,Consumer Durables,Germany,268549.0,14388.0,424980.0,126017.0,0.0535768146595221,0.033855710856981504,2015,Europe,DEU
