Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
AAL,1641186000000,18.23,18.75,19.18,18.2
AAL,1641272400000,19.215,19.02,19.46,18.8504
AAL,1641358800000,19.13,18.68,19.385,18.51
AAL,1641445200000,18.89,18.57,19.0599,18.35
AAL,1641531600000,18.75,19.28,19.59,18.58
AAL,1641790800000,19.24,18.79,19.39,18.68
AAL,1641877200000,18.88,19.02,19.205,18.71
AAL,1641963600000,19.16,18.5,19.255,18.35
AAL,1642050000000,18.73,19.34,19.7597,18.63
AAL,1642136400000,19.11,18.49,19.16,18.4
AAL,1642482000000,18.23,17.9,18.61,17.77
AAL,1642568400000,17.9,17.31,17.91,17.29
AAL,1642654800000,17.63,16.76,17.7326,16.6829
AAL,1642741200000,16.77,16.3,16.78,16.09
AAL,1643000400000,15.85,16.41,16.44,15.38
AAL,1643086800000,16.05,16.46,16.54,15.89
AAL,1643173200000,16.7,16.24,16.97,16.135
AAL,1643259600000,16.425,15.78,16.84,15.6226
AAL,1643346000000,15.67,15.64,15.78,14.905
AAL,1643605200000,15.55,16.47,16.47,15.4
AAL,1643691600000,16.56,16.83,16.965,16.4114
AAL,1643778000000,16.88,16.96,17.145,16.49
AAL,1643864400000,16.65,16.57,17.175,16.545
AAL,1643950800000,16.54,16.45,16.565,16.04
AAL,1644210000000,16.69,17.28,17.505,16.64
AAL,1644296400000,17.4,18.26,18.28,17.21
AAL,1644382800000,18.45,18.76,18.97,18.35
AAL,1644469200000,18.42,18.71,19.08,18.35
AAL,1644555600000,18.59,17.61,18.9771,17.44
AAL,1644814800000,17.85,17.43,18.305,17.35
AAL,1644901200000,18.315,18.84,18.905,18.12
AAL,1644987600000,18.565,18.82,19.11,18.5
AAL,1645074000000,18.535,18.22,18.67,18.03
AAL,1645160400000,18.22,17.87,18.41,17.75
AAL,1645506000000,17.44,17.43,17.95,17.29
AAL,1645592400000,17.62,16.64,17.76,16.61
AAL,1645678800000,15.66,16.96,17,15.48
AAL,1645765200000,17.16,17.46,17.73,16.99
AAL,1646024400000,17.04,17.25,17.425,16.55
AAL,1646110800000,16.97,16.29,17.07,16.08
AAL,1646197200000,16.5,16.37,16.92,16.2903
AAL,1646283600000,16.63,15.71,16.75,15.61
AAL,1646370000000,15.27,14.59,15.4799,14.42
AAL,1646629200000,14.32,12.84,14.62,12.77
AAL,1646715600000,13.035,13.51,14.27,12.4401
AAL,1646802000000,14.44,14.3,14.75,14.05
AAL,1646888400000,13.82,14.2,14.44,13.46
AAL,1646974800000,14.4,14.02,14.56,13.9
AAL,1647230400000,14.04,14.25,14.83,13.7
AAL,1647316800000,14.91,15.57,15.8,14.9
AAL,1647403200000,15.845,16.47,16.49,15.53
AAL,1647489600000,16.06,16.55,16.565,15.89
AAL,1647576000000,16.35,16.75,16.84,16.16
AAL,1647835200000,16.5,16.09,16.54,15.9
AAL,1647921600000,16.2,16.56,16.76,16.085
AAL,1648008000000,16.31,16.21,16.46,16.17
AAL,1648094400000,16.31,16.72,16.76,16.1
AAL,1648180800000,16.75,17.01,17.44,16.74
AAL,1648440000000,17.27,17.3,17.38,16.82
AAL,1648526400000,17.885,18.16,18.43,17.86
AAL,1648612800000,17.92,18.05,18.25,17.775
AAL,1648699200000,18.16,18.25,18.45,17.98
AAL,1648785600000,18.3,18.24,18.395,18.065
AAL,1649044800000,18.16,18.23,18.37,17.72
AAL,1649131200000,18.35,17.84,18.57,17.58
AAL,1649217600000,17.26,17.38,17.67,16.83
AAL,1649304000000,17.14,16.95,17.2501,16.37
AAL,1649390400000,16.87,16.59,17.02,16.57
AAL,1649649600000,16.5,16.97,17.23,16.41
AAL,1649736000000,17.13,17.13,17.16,16.69
AAL,1649822400000,17.88,18.95,18.99,17.86
AAL,1649908800000,18.99,19,19.49,18.88
AAL,1650254400000,18.86,18.54,19.09,18.47
AAL,1650340800000,18.86,19.59,19.8,18.86
AAL,1650427200000,19.66,19.48,20.07,19.47
AAL,1650513600000,21.255,20.22,21.42,20.11
AAL,1650600000000,20.6,20.18,21.15,20.065
AAL,1650859200000,19.975,19.98,20.15,19.48
AAL,1650945600000,19.84,18.77,19.98,18.76
AAL,1651032000000,18.675,18.97,19.18,18.47
AAL,1651118400000,19.13,19.43,19.5574,18.635
AAL,1651204800000,19.15,18.77,19.51,18.72
AAL,1651464000000,18.75,18.56,18.955,18.0337
AAL,1651550400000,18.68,19.13,19.3442,18.34
AAL,1651636800000,18.83,19.62,19.64,18.75
AAL,1651723200000,19.25,18.54,19.515,18.38
AAL,1651809600000,18.45,17.84,18.47,17.61
AAL,1652068800000,17.36,16.32,17.575,16.21
AAL,1652155200000,16.81,16.57,16.89,16.185
AAL,1652241600000,16.55,15.97,17.085,15.905
AAL,1652328000000,15.71,15.49,16.13,15.09
AAL,1652414400000,15.84,16.58,16.6484,15.82
AAL,1652673600000,16.5,16.55,17.027,16.42
AAL,1652760000000,17.16,17.82,17.83,17.065
AAL,1652846400000,17.45,16.89,17.835,16.78
AAL,1652932800000,16.63,16.75,17.14,16.57
AAL,1653019200000,17.06,16.26,17.16,15.83
AAL,1653278400000,16.43,16.75,16.86,16.14
AAL,1653364800000,16.53,15.5,16.53,15.32
AAL,1653451200000,15.44,16.13,16.18,15.405
AAL,1653537600000,16.37,17.24,17.4184,16.31
AAL,1653624000000,17.45,18.13,18.21,17.34
AAL,1653969600000,17.7,17.87,18.22,17.51
AAL,1654056000000,18.07,17.29,18.1,16.98
AAL,1654142400000,17.27,17.46,17.51,17.175
AAL,1654228800000,17,16.22,17.05,16.09
AAL,1654488000000,16.53,16.3,16.57,16.02
AAL,1654574400000,16.1,16.69,16.73,15.9626
AAL,1654660800000,16.39,16.15,16.69,16.11
AAL,1654747200000,16.08,15.47,16.22,15.455
AAL,1654833600000,15.09,14.71,15.83,14.71
AAL,1655092800000,14.12,13.32,14.16,13.13
AAL,1655179200000,13.6,12.95,13.66,12.76
AAL,1655265600000,13.07,13.31,13.675,13.02
AAL,1655352000000,12.9,12.16,12.9,11.96
AAL,1655438400000,12.2,12.94,13.07,11.93
AAL,1655784000000,13.215,13.04,13.24,12.62
AAL,1655870400000,12.82,13.1,13.43,12.76
AAL,1655956800000,13.02,12.98,13.175,12.58
AAL,1656043200000,12.97,13.9,13.96,12.885
AAL,1656302400000,13.955,13.56,13.96,13.38
AAL,1656388800000,13.799,13.5,14.48,13.47
AAL,1656475200000,13.23,13.03,13.24,12.77
AAL,1656561600000,12.6,12.68,12.8799,12.25
AAL,1656648000000,12.78,13.13,13.18,12.52
AAL,1656993600000,12.81,13.88,13.88,12.55
AAL,1657080000000,13.75,13.89,14.085,13.64
AAL,1657166400000,13.94,14.1,14.195,13.64
AAL,1657252800000,13.96,13.97,14.27,13.72
AAL,1657512000000,13.82,13.43,13.97,13.31
