Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
AAPL,1641186000000,177.83,182.01,182.88,177.71
AAPL,1641272400000,182.63,179.7,182.94,179.12
AAPL,1641358800000,179.61,174.92,180.17,174.64
AAPL,1641445200000,172.7,172,175.3,171.64
AAPL,1641531600000,172.89,172.17,174.14,171.03
AAPL,1641790800000,169.08,172.19,172.5,168.17
AAPL,1641877200000,172.32,175.08,175.18,170.82
AAPL,1641963600000,176.12,175.53,177.18,174.82
AAPL,1642050000000,175.78,172.19,176.62,171.79
AAPL,1642136400000,171.34,173.07,173.78,171.09
AAPL,1642482000000,171.51,169.8,172.54,169.405
AAPL,1642568400000,170,166.23,171.08,165.94
AAPL,1642654800000,166.98,164.51,169.68,164.18
AAPL,1642741200000,164.415,162.41,166.33,162.3
AAPL,1643000400000,160.02,161.62,162.3,154.7
AAPL,1643086800000,158.98,159.78,162.76,157.02
AAPL,1643173200000,163.5,159.69,164.3894,157.82
AAPL,1643259600000,162.45,159.22,163.84,158.28
AAPL,1643346000000,165.71,170.33,170.35,162.8
AAPL,1643605200000,170.16,174.78,175,169.51
AAPL,1643691600000,174.01,174.61,174.84,172.31
AAPL,1643778000000,174.745,175.84,175.88,173.33
AAPL,1643864400000,174.48,172.9,176.2399,172.12
AAPL,1643950800000,171.68,172.39,174.1,170.68
AAPL,1644210000000,172.86,171.66,173.9458,170.95
AAPL,1644296400000,171.73,174.83,175.35,171.43
AAPL,1644382800000,176.05,176.28,176.65,174.9
AAPL,1644469200000,174.14,172.12,175.48,171.55
AAPL,1644555600000,172.33,168.64,173.08,168.04
AAPL,1644814800000,167.37,168.88,169.58,166.56
AAPL,1644901200000,170.97,172.79,172.95,170.25
AAPL,1644987600000,171.85,172.55,173.34,170.05
AAPL,1645074000000,171.03,168.88,171.91,168.47
AAPL,1645160400000,169.82,167.3,170.5413,166.19
AAPL,1645506000000,164.98,164.32,166.69,162.15
AAPL,1645592400000,165.54,160.07,166.15,159.75
AAPL,1645678800000,152.58,162.74,162.85,152
AAPL,1645765200000,163.84,164.85,165.12,160.8738
AAPL,1646024400000,163.06,165.12,165.42,162.43
AAPL,1646110800000,164.695,163.2,166.6,161.97
AAPL,1646197200000,164.39,166.56,167.36,162.95
AAPL,1646283600000,168.47,166.23,168.91,165.55
AAPL,1646370000000,164.49,163.17,165.55,162.1
AAPL,1646629200000,163.36,159.3,165.02,159.04
AAPL,1646715600000,158.82,157.44,162.88,155.8
AAPL,1646802000000,161.475,162.95,163.41,159.41
AAPL,1646888400000,160.2,158.52,160.39,155.98
AAPL,1646974800000,158.93,154.73,159.28,154.5
AAPL,1647230400000,151.45,150.62,154.12,150.1
AAPL,1647316800000,150.9,155.09,155.57,150.38
AAPL,1647403200000,157.05,159.59,160,154.46
AAPL,1647489600000,158.61,160.62,161,157.63
AAPL,1647576000000,160.51,163.98,164.48,159.76
AAPL,1647835200000,163.51,165.38,166.35,163.015
AAPL,1647921600000,165.51,168.82,169.42,164.91
AAPL,1648008000000,167.99,170.21,172.64,167.65
AAPL,1648094400000,171.06,174.07,174.14,170.21
AAPL,1648180800000,173.88,174.72,175.28,172.75
AAPL,1648440000000,172.17,175.6,175.73,172
AAPL,1648526400000,176.69,178.96,179.01,176.34
AAPL,1648612800000,178.55,177.77,179.61,176.7
AAPL,1648699200000,177.84,174.61,178.03,174.4
AAPL,1648785600000,174.03,174.31,174.88,171.94
AAPL,1649044800000,174.57,178.44,178.49,174.44
AAPL,1649131200000,177.5,175.06,178.3,174.415
AAPL,1649217600000,172.36,171.83,173.63,170.13
AAPL,1649304000000,171.16,172.14,173.36,169.85
AAPL,1649390400000,171.78,170.09,171.78,169.2
AAPL,1649649600000,168.71,165.75,169.03,165.5
AAPL,1649736000000,168.02,167.66,169.87,166.64
AAPL,1649822400000,167.39,170.4,171.04,166.77
AAPL,1649908800000,170.62,165.29,171.27,165.04
AAPL,1650254400000,163.92,165.07,166.5984,163.57
AAPL,1650340800000,165.02,167.4,167.82,163.91
AAPL,1650427200000,168.76,167.23,168.88,166.1
AAPL,1650513600000,168.91,166.42,171.53,165.91
AAPL,1650600000000,166.46,161.79,167.8699,161.5
AAPL,1650859200000,161.12,162.88,163.17,158.46
AAPL,1650945600000,162.25,156.8,162.34,156.72
AAPL,1651032000000,155.91,156.57,159.79,155.38
AAPL,1651118400000,159.25,163.64,164.515,158.93
AAPL,1651204800000,161.84,157.65,166.2,157.25
AAPL,1651464000000,156.71,157.96,158.23,153.27
AAPL,1651550400000,158.15,159.48,160.71,156.32
AAPL,1651636800000,159.67,166.02,166.48,159.26
AAPL,1651723200000,163.85,156.77,164.08,154.95
AAPL,1651809600000,156.01,157.28,159.44,154.18
AAPL,1652068800000,154.925,152.06,155.83,151.49
AAPL,1652155200000,155.52,154.51,156.74,152.93
AAPL,1652241600000,153.5,146.5,155.45,145.81
AAPL,1652328000000,142.77,142.56,146.2,138.8
AAPL,1652414400000,144.59,147.11,148.105,143.11
AAPL,1652673600000,145.55,145.54,147.5199,144.18
AAPL,1652760000000,148.86,149.24,149.77,146.68
AAPL,1652846400000,146.85,140.82,147.3601,139.9
AAPL,1652932800000,139.88,137.35,141.66,136.6
AAPL,1653019200000,139.09,137.59,140.7,132.61
AAPL,1653278400000,137.79,143.11,143.26,137.65
AAPL,1653364800000,140.805,140.36,141.97,137.33
AAPL,1653451200000,138.43,140.52,141.785,138.34
AAPL,1653537600000,137.39,143.78,144.34,137.14
AAPL,1653624000000,145.39,149.64,149.68,145.26
AAPL,1653969600000,149.07,148.84,150.66,146.84
AAPL,1654056000000,149.9,148.71,151.74,147.68
AAPL,1654142400000,147.83,151.21,151.27,146.86
AAPL,1654228800000,146.9,145.38,147.97,144.46
AAPL,1654488000000,147.03,146.14,148.5689,144.9
AAPL,1654574400000,144.345,148.71,149,144.1
AAPL,1654660800000,148.58,147.96,149.8697,147.46
AAPL,1654747200000,147.08,142.64,147.95,142.53
AAPL,1654833600000,140.28,137.13,140.76,137.06
AAPL,1655092800000,132.87,131.88,135.2,131.44
AAPL,1655179200000,133.13,132.76,133.89,131.48
AAPL,1655265600000,134.29,135.43,137.34,132.16
AAPL,1655352000000,132.08,130.06,132.39,129.04
AAPL,1655438400000,130.065,131.56,133.079,129.81
AAPL,1655784000000,133.42,135.87,137.06,133.32
AAPL,1655870400000,134.79,135.35,137.76,133.91
AAPL,1655956800000,136.82,138.27,138.59,135.63
AAPL,1656043200000,139.9,141.66,141.91,139.77
AAPL,1656302400000,142.695,141.66,143.49,140.965
AAPL,1656388800000,142.13,137.44,143.422,137.325
AAPL,1656475200000,137.46,139.23,140.67,136.67
AAPL,1656561600000,137.25,136.72,138.37,133.7737
AAPL,1656648000000,136.04,138.93,139.04,135.66
AAPL,1656993600000,137.77,141.56,141.61,136.93
AAPL,1657080000000,141.355,142.92,144.12,141.08
AAPL,1657166400000,143.29,146.35,146.55,143.28
AAPL,1657252800000,145.265,147.04,147.55,145
AAPL,1657512000000,145.67,144.87,146.64,143.78
AAPL,1657598400000,145.76,145.86,148.45,145.05
AAPL,1657684800000,142.99,145.49,146.45,142.1201
AAPL,1657771200000,144.08,148.47,148.95,143.25
AAPL,1657857600000,149.78,150.17,150.86,148.2
AAPL,1658116800000,150.74,147.07,151.57,146.7
AAPL,1658203200000,147.92,151,151.23,146.91
AAPL,1658289600000,151.12,153.04,153.72,150.37
AAPL,1658376000000,154.5,155.35,155.57,151.94
AAPL,1658462400000,155.39,154.09,156.28,153.41
AAPL,1658721600000,154.01,152.95,155.04,152.28
AAPL,1658808000000,152.265,151.6,153.085,150.8
AAPL,1658894400000,152.58,156.79,157.33,152.16
AAPL,1658980800000,156.98,157.35,157.64,154.41
AAPL,1659067200000,161.24,162.51,163.63,159.5
AAPL,1659326400000,161.01,161.51,163.59,160.89
AAPL,1659412800000,160.1,160.01,162.41,159.63
AAPL,1659499200000,160.84,166.13,166.59,160.75
AAPL,1659585600000,166.005,165.81,167.19,164.43
AAPL,1659672000000,163.21,165.35,165.85,163
AAPL,1659931200000,166.37,164.87,167.81,164.2
AAPL,1660017600000,164.02,164.92,165.82,163.25
AAPL,1660104000000,167.68,169.24,169.34,166.9
AAPL,1660190400000,170.06,168.49,170.99,168.19
AAPL,1660276800000,169.82,172.1,172.17,169.4
AAPL,1660536000000,171.52,173.19,173.39,171.345
AAPL,1660622400000,172.78,173.03,173.71,171.6618
AAPL,1660708800000,172.77,174.55,176.15,172.57
AAPL,1660795200000,173.75,174.15,174.9,173.12
AAPL,1660881600000,173.03,171.52,173.74,171.3101
AAPL,1661140800000,169.69,167.57,169.86,167.135
AAPL,1661227200000,167.08,167.23,168.71,166.65
AAPL,1661313600000,167.32,167.53,168.11,166.245
AAPL,1661400000000,168.78,170.03,170.14,168.35
AAPL,1661486400000,170.57,163.62,171.05,163.56
AAPL,1661745600000,161.145,161.38,162.9,159.82
AAPL,1661832000000,162.13,158.91,162.56,157.72
AAPL,1661918400000,160.305,157.22,160.58,157.14
AAPL,1662004800000,156.64,157.96,158.42,154.67
AAPL,1662091200000,159.75,155.81,160.362,154.965
AAPL,1662436800000,156.47,154.53,157.09,153.69
AAPL,1662523200000,154.825,155.96,156.67,153.61
AAPL,1662609600000,154.64,154.46,156.36,152.68
AAPL,1662696000000,155.47,157.37,157.82,154.75
AAPL,1662955200000,159.59,163.43,164.26,159.3
AAPL,1663041600000,159.9,153.84,160.54,153.37
AAPL,1663128000000,154.785,155.31,157.1,153.6106
AAPL,1663214400000,154.65,152.37,155.24,151.38
AAPL,1663300800000,151.21,150.7,151.35,148.37
AAPL,1663560000000,149.31,154.48,154.56,149.1
AAPL,1663646400000,153.4,156.9,158.08,153.08
AAPL,1663732800000,157.34,153.72,158.74,153.6
AAPL,1663819200000,152.38,152.74,154.47,150.91
AAPL,1663905600000,151.19,150.43,151.47,148.56
AAPL,1664164800000,149.66,150.77,153.7701,149.64
AAPL,1664251200000,152.74,151.76,154.72,149.945
AAPL,1664337600000,147.64,149.84,150.6414,144.84
AAPL,1664424000000,146.1,142.48,146.72,140.68
AAPL,1664510400000,141.28,138.2,143.1,138
AAPL,1664769600000,138.21,142.45,143.07,137.685
AAPL,1664856000000,145.03,146.1,146.22,144.26
AAPL,1664942400000,144.075,146.4,147.38,143.01
AAPL,1665028800000,145.81,145.43,147.54,145.22
AAPL,1665115200000,142.54,140.09,143.1,139.445
AAPL,1665374400000,140.42,140.42,141.89,138.5729
AAPL,1665460800000,139.9,138.98,141.35,138.22
AAPL,1665547200000,139.13,138.34,140.36,138.16
AAPL,1665633600000,134.99,142.99,143.59,134.37
AAPL,1665720000000,144.31,138.38,144.52,138.19
AAPL,1665979200000,141.065,142.41,142.9,140.27
AAPL,1666065600000,145.49,143.75,146.7,140.61
AAPL,1666152000000,141.69,143.86,144.9492,141.5
AAPL,1666238400000,143.02,143.39,145.89,142.65
AAPL,1666324800000,142.87,147.27,147.8479,142.649
AAPL,1666584000000,147.185,149.45,150.23,146
AAPL,1666670400000,150.09,152.34,152.49,149.36
AAPL,1666756800000,150.96,149.35,151.99,148.04
AAPL,1666843200000,148.07,144.8,149.046,144.13
AAPL,1666929600000,148.2,155.74,157.5,147.82
AAPL,1667188800000,153.155,153.34,154.24,151.92
AAPL,1667275200000,155.08,150.65,155.45,149.13
AAPL,1667361600000,148.945,145.03,152.17,145
AAPL,1667448000000,142.06,138.88,142.8,138.75
AAPL,1667534400000,142.09,138.38,142.67,134.38
AAPL,1667797200000,137.11,138.92,139.145,135.671
AAPL,1667883600000,140.41,139.5,141.43,137.49
AAPL,1667970000000,138.5,134.87,138.55,134.5933
AAPL,1668056400000,141.24,146.87,146.87,139.5
AAPL,1668142800000,145.82,149.7,150.01,144.37
AAPL,1668402000000,148.97,148.28,150.28,147.43
AAPL,1668488400000,152.215,150.04,153.59,148.5613
AAPL,1668574800000,149.13,148.79,149.87,147.29
AAPL,1668661200000,146.43,150.72,151.48,146.15
AAPL,1668747600000,152.305,151.29,152.7,149.97
AAPL,1669006800000,150.16,148.01,150.37,147.715
AAPL,1669093200000,148.13,150.18,150.42,146.925
AAPL,1669179600000,149.45,151.07,151.83,149.34
AAPL,1669352400000,148.305,148.11,148.88,147.12
AAPL,1669611600000,145.14,144.22,146.64,143.38
AAPL,1669698000000,144.29,141.17,144.81,140.355
AAPL,1669784400000,141.395,148.03,148.72,140.55
AAPL,1669870800000,148.21,148.31,149.13,146.61
AAPL,1669957200000,145.96,147.81,148,145.65
AAPL,1670216400000,147.77,146.63,150.9199,145.77
AAPL,1670302800000,147.075,142.91,147.3,141.92
AAPL,1670389200000,142.19,140.94,143.37,140
AAPL,1670475600000,142.36,142.65,143.52,141.1
AAPL,1670562000000,142.34,142.16,145.57,140.9
AAPL,1670821200000,142.7,144.49,144.5,141.06
AAPL,1670907600000,149.5,145.47,149.9692,144.24
AAPL,1670994000000,145.35,143.21,146.655,141.16
AAPL,1671080400000,141.11,136.5,141.8,136.025
AAPL,1671166800000,136.685,134.51,137.65,133.73
AAPL,1671426000000,135.11,132.37,135.2,131.32
AAPL,1671512400000,131.39,132.3,133.25,129.89
AAPL,1671598800000,132.98,135.45,136.81,132.75
AAPL,1671685200000,134.352,132.23,134.56,130.3
AAPL,1671771600000,130.92,131.86,132.415,129.64
AAPL,1672117200000,131.38,130.03,131.41,128.72
AAPL,1672203600000,129.67,126.04,131.0275,125.87
AAPL,1672290000000,127.99,129.61,130.4814,127.73
AAPL,1672376400000,128.41,129.93,129.95,127.43
