Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
AMZN,1641186000000,167.55,170.4045,170.7035,166.1605
AMZN,1641272400000,170.438,167.522,171.4,166.3495
AMZN,1641358800000,166.883,164.357,167.1263,164.357
AMZN,1641445200000,163.4505,163.254,164.8,161.9372
AMZN,1641531600000,163.839,162.554,165.2433,162.031
AMZN,1641790800000,160.5855,161.486,161.6615,156.3045
AMZN,1641877200000,161.5,165.362,166.35,160.7015
AMZN,1641963600000,166.575,165.207,166.878,164.417
AMZN,1642050000000,165.2505,161.214,166.2215,161.091
AMZN,1642136400000,160.15,162.138,162.25,159.8005
AMZN,1642482000000,159.105,158.9175,159.7345,157.6645
AMZN,1642568400000,158.762,156.299,159.25,156.25
AMZN,1642654800000,156.766,151.6675,158,151.351
AMZN,1642741200000,149.95,142.643,150.9,142.0704
AMZN,1643000400000,139,144.544,144.945,135.352
AMZN,1643086800000,142.2425,139.986,143.6,138.145
AMZN,1643173200000,144.75,138.8725,145.1848,137.3185
AMZN,1643259600000,140.8,139.6375,144.2435,139.35
AMZN,1643346000000,140.8605,143.978,143.998,137.9293
AMZN,1643605200000,144.75,149.5735,150.3605,144.3005
AMZN,1643691600000,150,151.1935,151.708,147.6277
AMZN,1643778000000,155.0504,150.6125,155.075,148.8636
AMZN,1643864400000,141.7375,138.8455,144.2475,138.333
AMZN,1643950800000,155.6065,157.6395,161.2,150.608
AMZN,1644210000000,158.52,157.9355,162.6908,157.25
AMZN,1644296400000,156.7505,161.4135,161.7925,155.5505
AMZN,1644382800000,162.8735,161.1895,163.8345,160.25
AMZN,1644469200000,158.35,159.0035,160.7165,157.75
AMZN,1644555600000,158.1345,153.2935,159,152.7338
AMZN,1644814800000,151.751,155.167,158.4483,151.65
AMZN,1644901200000,157.6055,156.5105,158.007,154.6375
AMZN,1644987600000,155.7905,158.1005,158.834,154.7345
AMZN,1645074000000,158.146,154.6525,160.3488,154.5
AMZN,1645160400000,155.4995,152.6015,155.4995,150.893
AMZN,1645506000000,150.4785,150.1975,152.9825,148.4855
AMZN,1645592400000,151.6505,144.827,151.763,144.651
AMZN,1645678800000,139.8375,151.358,151.749,139.5
AMZN,1645765200000,150.55,153.7885,153.99,149.2135
AMZN,1646024400000,152.425,153.563,154.45,150.85
AMZN,1646110800000,152.7325,151.142,154.099,149.977
AMZN,1646197200000,150.849,152.0525,152.9995,148.75
AMZN,1646283600000,153.5315,147.8985,153.929,146.856
