Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
BHP,1641186000000,60.59,60.34,60.78,60.14
BHP,1641272400000,60.53,61.32,61.64,60.44
BHP,1641358800000,61.74,62.05,62.98,61.72
BHP,1641445200000,62.28,62.12,62.64,61.4
BHP,1641531600000,62.89,64.36,64.37,62.81
BHP,1641790800000,63.14,63.15,63.45,62.2
BHP,1641877200000,63,64.49,64.61,62.4592
BHP,1641963600000,67,67.15,67.22,66.1
BHP,1642050000000,67,67.1,67.5209,66.8
BHP,1642136400000,66.25,66.97,67.23,66.09
BHP,1642482000000,66.87,66.45,67.54,66.08
BHP,1642568400000,67.8,68.48,68.79,67.65
BHP,1642654800000,68.49,68.03,69.56,67.92
BHP,1642741200000,65.71,64.97,66.09,64.95
BHP,1643000400000,63.23,64.61,64.63,62.22
BHP,1643086800000,63.75,63.88,64.49,62.86
BHP,1643173200000,64.41,64.47,65.45,64.01
BHP,1643259600000,64.97,65.8,66.09,64.9
BHP,1643346000000,64.55,64.17,64.65,63.22
BHP,1643605200000,63.745,63.6,63.75,62.84
BHP,1643691600000,63.98,65.02,65.07,63.83
BHP,1643778000000,65.29,65.52,65.7886,64.81
BHP,1643864400000,66.53,65.74,66.54,65.45
BHP,1643950800000,65.85,66.16,66.43,65.64
BHP,1644210000000,67.58,68.45,68.855,67.06
BHP,1644296400000,69.32,69.16,69.37,67.89
BHP,1644382800000,68.43,68.9,69.015,67.76
BHP,1644469200000,69.75,69.94,70.938,69.62
BHP,1644555600000,68.56,68.91,69.39,68.35
BHP,1644814800000,68.6,68.26,68.6,67.53
BHP,1644901200000,67.05,67.52,67.56,66.085
BHP,1644987600000,67.45,68.73,68.87,67.45
BHP,1645074000000,68.15,67.92,68.56,67.59
BHP,1645160400000,69.37,69.34,69.56,68.6
BHP,1645506000000,69.41,68.74,69.84,68.16
BHP,1645592400000,69.69,68.76,69.815,68.67
BHP,1645678800000,63.54,63.5,63.805,62.27
BHP,1645765200000,64.29,67.06,67.07,64.09
BHP,1646024400000,66.97,67.79,68.07,66.92
BHP,1646110800000,68.09,68.5,68.96,67.565
BHP,1646197200000,71.07,71.97,71.98,70.66
BHP,1646283600000,72.49,73,73.58,72.285
BHP,1646370000000,70.79,73.12,73.14,70.77
BHP,1646629200000,72.71,72.4,73.23,71.68
BHP,1646715600000,69.58,69.57,70.7,69.05
BHP,1646802000000,68.76,69.84,70.2,68.38
BHP,1646888400000,69.86,71.21,71.25,69.47
BHP,1646974800000,68.42,68.55,69.62,68.35
BHP,1647230400000,67,65.49,67.22,65.04
BHP,1647316800000,63.96,64.78,64.815,63.37
BHP,1647403200000,65.46,66.84,66.97,65.3096
BHP,1647489600000,66.55,67.9,67.945,66.07
BHP,1647576000000,68.77,68.8,68.905,67.67
BHP,1647835200000,70.42,71.64,72.1,70.37
BHP,1647921600000,72.64,71.03,73,70.63
BHP,1648008000000,71.61,72.96,72.99,71.44
BHP,1648094400000,73.69,74.27,74.58,73.646
BHP,1648180800000,74.24,75.34,75.39,74.24
BHP,1648440000000,75.79,75.59,75.87,74.62
BHP,1648526400000,74.25,75.63,75.76,73.47
BHP,1648612800000,77.5,78.12,78.57,77.49
BHP,1648699200000,78.28,77.25,78.735,77.18
BHP,1648785600000,78.51,79.3,79.66,78.43
BHP,1649044800000,78.79,78.78,79,78.155
BHP,1649131200000,78.26,77.18,78.69,77.05
BHP,1649217600000,77.76,77.32,78.02,76.65
BHP,1649304000000,77,77.35,77.675,76.46
BHP,1649390400000,78,77.67,78.41,77.5
BHP,1649649600000,76.73,75.9,76.92,75.45
BHP,1649736000000,76.66,77.03,78.05,76.64
BHP,1649822400000,77.05,78.13,78.22,77.05
BHP,1649908800000,77.71,78.15,78.505,77.55
BHP,1650254400000,78.38,78.38,79.1398,78.19
BHP,1650340800000,77.33,77.86,77.92,77.12
BHP,1650427200000,75.75,76.9,77.1,74.67
BHP,1650513600000,74.05,71.46,74.47,71.21
BHP,1650600000000,70.5,67.99,70.84,67.86
BHP,1650859200000,64.98,65.9,66.12,63.855
BHP,1650945600000,65.07,64.25,65.55,64.17
BHP,1651032000000,67.31,67.18,68.02,66.44
BHP,1651118400000,67.08,68.11,68.17,66.3945
BHP,1651204800000,68.84,66.98,69.32,66.92
BHP,1651464000000,66.94,67.4,67.41,66.0002
BHP,1651550400000,67.59,67.88,68.43,67.44
BHP,1651636800000,67.15,69.27,69.3681,66.45
BHP,1651723200000,68.03,65.79,68.17,65.1
BHP,1651809600000,65.17,65.85,65.975,64.3588
BHP,1652068800000,63.54,62.14,63.84,62.01
BHP,1652155200000,63.32,62.52,63.43,61.53
BHP,1652241600000,64.04,62.77,65.02,62.685
BHP,1652328000000,61.26,61.98,62.36,60.7
BHP,1652414400000,62.8,63.54,63.78,62.54
BHP,1652673600000,63.46,63.47,63.89,62.8
BHP,1652760000000,65.33,65.55,65.64,64.8
BHP,1652846400000,64.54,63.82,64.75,63.58
BHP,1652932800000,64.13,65.87,66.46,64.13
BHP,1653019200000,67.24,67.32,67.55,66.0419
BHP,1653278400000,68.3,68.7,69.02,67.78
