Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
FB,1641186000000,338.295,338.54,341.0816,337.19
FB,1641272400000,339.95,336.53,343.0854,331.8711
FB,1641358800000,333.02,324.17,335.76,323.84
FB,1641445200000,322.82,332.46,339.165,322.72
FB,1641531600000,332.74,331.79,337,328.8801
FB,1641790800000,325.31,328.07,328.34,315.43
FB,1641877200000,326.78,334.37,334.63,325.28
FB,1641963600000,335.18,333.26,336.365,330.03
FB,1642050000000,334.98,326.48,335.63,325.76
FB,1642136400000,321.79,331.9,332.73,321.21
FB,1642482000000,323.29,318.15,324.21,317.64
FB,1642568400000,319.5822,319.59,327.1,319.33
FB,1642654800000,323.9,316.56,327.82,315.98
FB,1642741200000,314.81,303.17,318.31,303.04
FB,1643000400000,297.84,308.71,309.53,289.01
FB,1643086800000,299.95,300.15,306.23,297.58
FB,1643173200000,307.01,294.63,307.51,290.85
FB,1643259600000,297.752,294.64,301.709,294.26
FB,1643346000000,295.6204,301.71,301.9,293.0333
FB,1643605200000,300.68,313.26,313.79,299.32
FB,1643691600000,314.555,319,319.6598,312.12
FB,1643778000000,327.82,323,328,316.8747
FB,1643864400000,244.645,237.76,248,235.745
FB,1643950800000,234.97,237.09,242.6099,230.11
FB,1644210000000,237.7,224.91,238.3,224.01
FB,1644296400000,220.85,220.18,225.77,216.15
FB,1644382800000,224.2,232,233.37,222.21
FB,1644469200000,228.27,228.07,235,226.7
FB,1644555600000,228.46,219.55,230.42,218.7701
FB,1644814800000,219.31,217.7,221,214.78
FB,1644901200000,220.47,221,221.15,215.06
FB,1644987600000,212.41,216.54,217.46,212.36
FB,1645074000000,214.02,207.71,217.5,207.1601
FB,1645160400000,209.39,206.16,210.75,205.18
FB,1645506000000,202.34,202.08,207.48,200.06
FB,1645592400000,204.16,198.45,206.94,198.05
FB,1645678800000,191.06,207.6,208.35,190.22
FB,1645765200000,204.94,210.48,211.32,203.18
FB,1646024400000,207.675,211.03,213.1508,206.83
FB,1646110800000,209.87,203.49,211.7517,202.22
FB,1646197200000,204.775,208.11,209.15,202.02
FB,1646283600000,209.015,202.97,209.08,201.42
FB,1646370000000,202.37,200.06,205.89,198.79
FB,1646629200000,200.79,187.47,200.89,187.28
FB,1646715600000,187.85,190.29,196.7,186.11
FB,1646802000000,195.74,198.5,199.1,193.92
FB,1646888400000,194.84,195.21,196.28,191.068
FB,1646974800000,192.635,187.61,193.56,186.67
FB,1647230400000,187.03,186.63,192.29,185.82
FB,1647316800000,190.8,192.03,192.28,185.911
FB,1647403200000,194.7,203.63,203.73,194.52
FB,1647489600000,201.7,207.84,208.04,201.11
FB,1647576000000,206.7,216.49,216.8,206
FB,1647835200000,214.5,211.49,214.71,207.63
FB,1647921600000,211.37,216.65,219.46,210.18
FB,1648008000000,213.33,213.46,216.7988,212.16
FB,1648094400000,215,219.57,220.67,214.79
FB,1648180800000,220.51,221.82,225.5,218.8901
FB,1648440000000,222.13,223.59,224.04,219.54
FB,1648526400000,226.07,229.86,230.89,225.29
FB,1648612800000,228.91,227.85,231.151,226.71
FB,1648699200000,228.45,222.36,228.49,222.26
FB,1648785600000,224.55,224.85,227.28,222.7
FB,1649044800000,225.98,233.89,234.351,225.86
FB,1649131200000,234.08,231.84,236.86,231.02
FB,1649217600000,226.91,223.3,228.9899,221.405
FB,1649304000000,223.93,222.95,225.52,218.56
FB,1649390400000,222.38,222.33,225.13,220.0283
FB,1649649600000,218.42,216.46,220.61,215.2198
FB,1649736000000,220.235,214.14,222.03,213.13
FB,1649822400000,211.82,214.99,216.61,211.33
FB,1649908800000,214.89,210.18,214.99,210
FB,1650254400000,210,210.77,213.38,208.3
FB,1650340800000,210.52,217.31,218.4299,209
FB,1650427200000,213.605,200.42,214.16,198.92
FB,1650513600000,201.6,188.07,202.965,185.58
FB,1650600000000,190.37,184.11,192.72,183.27
FB,1650859200000,182.73,186.99,187.18,181.655
FB,1650945600000,186.63,180.95,187.185,179.5
FB,1651032000000,174.43,174.95,181.2099,169
FB,1651118400000,202.92,205.73,208.53,192.9
FB,1651204800000,204.46,200.47,212.48,199.9
FB,1651464000000,201.165,211.13,211.88,200.99
FB,1651550400000,210.45,212.03,214.8999,208.09
FB,1651636800000,210.65,223.41,224.3,206.96
FB,1651723200000,218.74,208.28,220.17,206.16
FB,1651809600000,207.34,203.77,209.38,201.02
FB,1652068800000,199.84,196.21,202.57,195.58
FB,1652155200000,199.51,197.65,202.96,194.19
FB,1652241600000,196.325,188.74,200.6742,188.27
FB,1652328000000,187.055,191.24,198.05,184.78
FB,1652414400000,192.58,198.62,199.89,191.28
FB,1652673600000,197.05,200.04,205.37,195.93
FB,1652760000000,202.115,202.62,205.46,198.36
FB,1652846400000,200,192.24,201,191.63
FB,1652932800000,191.2,191.29,195.29,189.6
FB,1653019200000,194.97,193.54,197.91,187.87
FB,1653278400000,195.19,196.23,196.9924,191.24
FB,1653364800000,180.55,181.28,183.6759,176.11
FB,1653451200000,180.4,183.83,185.45,179.32
FB,1653537600000,182.878,191.63,192.8301,182.26
FB,1653624000000,191.36,195.13,195.3329,189.8
FB,1653969600000,194.885,193.64,197.6,192.01
FB,1654056000000,196.51,188.64,199.53,185
FB,1654142400000,188.45,198.86,200.935,187.73
FB,1654228800000,195.98,190.78,196.61,189.78
FB,1654488000000,193.99,194.25,196.92,188.4
FB,1654574400000,191.93,195.65,196.53,191.49
FB,1654660800000,194.67,196.64,202.03,194.41
