Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
FCX,1641186000000,41.48,41.48,42.045,41.285
FCX,1641272400000,41.82,42.15,42.5,41.46
FCX,1641358800000,42.19,41.68,43.72,41.5239
FCX,1641445200000,41.48,40.53,41.9,40.28
FCX,1641531600000,41,41.88,42.11,40.45
FCX,1641790800000,41.61,41.62,41.87,40.68
FCX,1641877200000,41.83,42.99,43.02,41.3
FCX,1641963600000,44.99,45.15,45.45,44.155
FCX,1642050000000,44.5,44.33,45.66,44.2401
FCX,1642136400000,43.3,44.08,44.46,43.06
FCX,1642482000000,43.9,44.29,46.2,43.43
FCX,1642568400000,45.04,44.08,45.5,44.05
FCX,1642654800000,44.54,43.19,44.9,43.11
FCX,1642741200000,42.6,40.99,42.73,40.7
FCX,1643000400000,39.59,39.96,40.06,37.4729
FCX,1643086800000,39.32,39.63,39.86,38.02
FCX,1643173200000,39.57,38.43,40.81,37.74
FCX,1643259600000,38.41,37.1,39.046,36.735
FCX,1643346000000,36.42,36.04,36.48,34.94
FCX,1643605200000,35.98,37.22,37.26,35.6389
FCX,1643691600000,38.2,39.02,39.09,37.52
FCX,1643778000000,39.03,39.39,39.86,38.35
FCX,1643864400000,38.69,38.2,39.12,37.99
FCX,1643950800000,38.03,38.42,38.83,37.71
FCX,1644210000000,38.42,38.9,39.43,38.19
FCX,1644296400000,39.175,40.63,40.7,38.98
FCX,1644382800000,41.4,43.56,43.8,41.27
FCX,1644469200000,42.86,43.91,45.56,42.8
FCX,1644555600000,42.6,42.8,44.175,42.33
FCX,1644814800000,42.75,42.45,43,41.76
FCX,1644901200000,42.5,43.67,43.69,41.84
FCX,1644987600000,43.6,44.25,44.4355,43.54
FCX,1645074000000,43.96,43.21,44.21,42.96
FCX,1645160400000,43.37,43.02,43.845,42.7843
FCX,1645506000000,43.01,42.36,43.45,41.8
FCX,1645592400000,42.55,42.46,43.1943,42.05
FCX,1645678800000,41.375,43.72,43.925,41.25
FCX,1645765200000,43.85,46.34,46.37,43.74
FCX,1646024400000,46.1,46.95,47.42,46.02
FCX,1646110800000,47.51,47.91,49.55,47.17
FCX,1646197200000,48.17,48.16,48.785,47.44
FCX,1646283600000,48.75,49.09,49.12,47.42
FCX,1646370000000,49.06,50.11,50.46,48.635
FCX,1646629200000,48.9,47.15,49.38,46.705
FCX,1646715600000,46.4,46.67,48.235,46.085
FCX,1646802000000,45.67,46.99,47.555,44.9
FCX,1646888400000,47.65,47.71,47.8395,46.35
FCX,1646974800000,47.13,46.93,47.775,46.605
FCX,1647230400000,46.16,44.52,46.22,44.135
FCX,1647316800000,43.34,44.28,44.46,43.004
FCX,1647403200000,45.265,46.42,46.775,44.95
FCX,1647489600000,47.02,48.59,48.8,46.76
FCX,1647576000000,48.33,48.08,49.47,47.98
FCX,1647835200000,48.35,49.51,49.995,48.35
FCX,1647921600000,49.94,49.86,50.775,48.7
FCX,1648008000000,50.01,49.81,50.42,49.68
FCX,1648094400000,50.14,51.45,51.94,50.06
FCX,1648180800000,51.105,51.93,51.99,50.92
FCX,1648440000000,51.12,50.27,51.12,48.95
FCX,1648526400000,49.03,50.09,50.09,47.64
FCX,1648612800000,50.61,50.78,51.43,50.145
FCX,1648699200000,50.58,49.74,51.265,49.74
FCX,1648785600000,49.88,50.96,51.845,49.833
FCX,1649044800000,51.78,50.9,51.78,50.57
FCX,1649131200000,50.99,49.09,51.56,48.885
