Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
GOOGL,1641186000000,145.055,144.9915,145.851,143.7128
GOOGL,1641272400000,145.396,144.3995,146.4849,143.7163
GOOGL,1641358800000,144.42,137.775,144.4994,137.688
GOOGL,1641445200000,136.9985,137.7475,139.94,136.5585
GOOGL,1641531600000,138.1455,137.017,138.4485,135.7665
GOOGL,1641790800000,135.078,138.6695,138.8195,133.1645
GOOGL,1641877200000,138.007,139.736,140.216,136.6923
GOOGL,1641963600000,141.15,141.4305,142.6078,140.6945
GOOGL,1642050000000,141.54,138.587,142.85,138.409
GOOGL,1642136400000,137.079,139.4805,140.742,136.9985
GOOGL,1642482000000,136.175,135.998,137.1315,135.4383
GOOGL,1642568400000,136.5235,135.1165,137.9595,135.0155
GOOGL,1642654800000,136.25,133.3075,137.626,132.9647
GOOGL,1642741200000,132.5935,130.3515,134.8655,130.0865
GOOGL,1643000400000,125.978,130.804,131.203,124.5
GOOGL,1643086800000,128.74,126.935,129.399,126.5005
GOOGL,1643173200000,131.119,129.233,133,127.142
GOOGL,1643259600000,131.304,129.005,132.6523,128.9323
GOOGL,1643346000000,129.659,133.351,133.3565,128.485
GOOGL,1643605200000,134.162,135.3035,135.473,132.2095
GOOGL,1643691600000,137.5945,137.644,137.7928,134.3685
GOOGL,1643778000000,151.25,148,151.5466,145.5225
GOOGL,1643864400000,145.7055,143.09,149.675,142.6653
GOOGL,1643950800000,143.4446,143.293,144.875,140.515
GOOGL,1644210000000,144.25,139.201,144.25,138.9
GOOGL,1644296400000,139.0265,139.399,140,137.0139
GOOGL,1644382800000,140.9635,141.592,142.5243,140.187
GOOGL,1644469200000,139.7035,138.62,141.4845,137.957
GOOGL,1644555600000,138.6,134.2825,139.1563,133.4
GOOGL,1644814800000,133.2565,135.526,136.3,133.2565
GOOGL,1644901200000,137.5705,136.6085,138.1085,135.8215
GOOGL,1644987600000,136.6465,137.738,138.086,134.9238
GOOGL,1645074000000,136.243,132.539,137.1135,132.4785
GOOGL,1645160400000,133.467,130.403,134.07,130.1965
GOOGL,1645506000000,129.8381,129.8135,132.1803,128.2233
GOOGL,1645592400000,131.6485,127.588,132.051,127.5275
GOOGL,1645678800000,124.9533,132.691,133,124.9533
GOOGL,1645765200000,133.552,134.4595,135.2715,131.7515
GOOGL,1646024400000,133.05,135.057,135.7515,132.5923
GOOGL,1646110800000,134.8785,134.0615,136.2555,133.2185
GOOGL,1646197200000,134.628,134.5715,135.2625,133.0715
GOOGL,1646283600000,136.01,133.8995,136.4395,133.0255
GOOGL,1646370000000,132.9275,131.9065,133.8515,130.3375
GOOGL,1646629200000,131.488,126.3785,131.735,126.295
GOOGL,1646715600000,126.25,127.1045,131.25,125.6747
GOOGL,1646802000000,131.25,133.42,133.7355,129.9005
GOOGL,1646888400000,131.266,132.4295,133.2718,130.9125
GOOGL,1646974800000,133.4885,129.8705,133.7955,129.6315
GOOGL,1647230400000,130.25,125.951,130.409,125.275
GOOGL,1647316800000,126.976,129.198,129.8545,125.7205
GOOGL,1647403200000,130.733,133.2805,133.333,128.7345
GOOGL,1647489600000,133.149,133.839,134.0804,132.185
GOOGL,1647576000000,133.4245,136.1255,136.244,132.2583
GOOGL,1647835200000,136.1635,136.1015,137.05,134.0923
GOOGL,1647921600000,136.1015,139.868,141.05,136.1015
GOOGL,1648008000000,138.7025,138.2755,139.5885,137.835
GOOGL,1648094400000,139.2,141.572,141.6188,137.7505
GOOGL,1648180800000,141.916,141.673,142.035,139.7375
GOOGL,1648440000000,140.9005,141.4555,142.0025,139.8113
GOOGL,1648526400000,142.6475,142.5055,143.7935,142.0383
GOOGL,1648612800000,142.46,141.9385,142.7203,141.6
GOOGL,1648699200000,142.053,139.0675,142.1078,139.0245
GOOGL,1648785600000,139.5,140.1505,140.4708,138.3075
GOOGL,1649044800000,140.3585,142.9715,143.712,140.3105
GOOGL,1649131200000,142.869,140.591,142.9905,140.3825
GOOGL,1649217600000,138.75,136.548,139.3605,135.517
GOOGL,1649304000000,136.01,135.8885,137.1645,134.2274
GOOGL,1649390400000,135.5835,133.2875,135.67,132.9655
GOOGL,1649649600000,131.8235,128.8235,132.0925,128.6685
GOOGL,1649736000000,131.6,127.7145,131.6,126.789
GOOGL,1649822400000,128,129.894,130.334,127.7413
GOOGL,1649908800000,130.4795,126.73,130.4795,126.601
GOOGL,1650254400000,127,127.6765,128.2125,126.182
GOOGL,1650340800000,127.6915,130.009,130.333,126.9995
GOOGL,1650427200000,130.892,128.04,131.399,127.5
GOOGL,1650513600000,129.25,124.8145,130.0985,124.5265
GOOGL,1650600000000,125,119.6355,125.402,118.925
GOOGL,1650859200000,119.101,123.074,123.2775,118.511
GOOGL,1650945600000,122.2945,118.65,122.51,118.511
GOOGL,1651032000000,114.4693,114.2945,117.242,112.7365
GOOGL,1651118400000,116.415,118.5225,119.6495,114.115
GOOGL,1651204800000,116.7345,114.1095,117.9198,113.8145
GOOGL,1651464000000,113.405,116.583,116.7455,112.6
GOOGL,1651550400000,116.4305,117.334,118.4418,116.0345
GOOGL,1651636800000,117.0315,122.261,122.8545,115.116
GOOGL,1651723200000,120.204,116.5055,121.039,115.0058
GOOGL,1651809600000,115.1845,115.7465,117.5715,114.0155
GOOGL,1652068800000,113.25,112.511,115.0771,112.0005
GOOGL,1652155200000,115.5075,114.395,116.25,112.9005
GOOGL,1652241600000,113.2365,113.6025,116.3644,113.2365
GOOGL,1652328000000,111.3775,112.844,114.295,109.8245
GOOGL,1652414400000,114.533,116.0505,117.875,113.605
GOOGL,1652673600000,114.9555,114.445,116.17,113.8895
GOOGL,1652760000000,116.8405,116.473,116.9,114.8698
GOOGL,1652846400000,115,111.8995,115.4,111.5555
GOOGL,1652932800000,111.4315,110.384,113.01,110
GOOGL,1653019200000,111.951,108.908,112.1835,105.7964
GOOGL,1653278400000,109.5875,111.488,112.1475,108.741
GOOGL,1653364800000,105.772,105.97,106.4583,101.8847
GOOGL,1653451200000,104.9855,105.805,106.5,103.8565
GOOGL,1653537600000,105.677,107.7925,108.6495,105.2249
GOOGL,1653624000000,109.483,112.3165,112.318,109.1383
GOOGL,1653969600000,112.7465,113.762,115.735,112.0785
GOOGL,1654056000000,114.855,113.892,117.1016,113.25
GOOGL,1654142400000,114,117.6225,117.8995,112.9465
GOOGL,1654228800000,116.0625,114.541,116.3216,113.5185
GOOGL,1654488000000,116.7045,116.8205,119.347,116.164
GOOGL,1654574400000,115.4805,117.1495,117.691,115.052
GOOGL,1654660800000,116.7615,117.194,118.5705,116.6
GOOGL,1654747200000,116.3275,114.8355,118.299,114.776
GOOGL,1654833600000,112.445,111.1615,113.279,110.3661
GOOGL,1655092800000,106.7865,106.3925,108.7915,106.1192
GOOGL,1655179200000,106.535,106.7155,107.9245,105.8
GOOGL,1655265600000,108.545,109.7645,111.4235,107.6695
GOOGL,1655352000000,107.221,106.0335,108.6485,105.138
GOOGL,1655438400000,106.0335,107.1435,108.6995,105.046
GOOGL,1655784000000,108.9295,111.544,112.4893,108.6
GOOGL,1655870400000,110.5565,111.4875,113.3465,110.3824
GOOGL,1655956800000,112.2315,112.242,112.7425,110.5005
GOOGL,1656043200000,112.995,117.975,118.079,112.9525
GOOGL,1656302400000,118.273,115.8335,118.5795,115.1797
GOOGL,1656388800000,115.8025,112.0075,117.3095,111.848
GOOGL,1656475200000,111.552,111.7015,113.1603,110.8725
GOOGL,1656561600000,110,108.963,110.888,106.75
GOOGL,1656648000000,107.933,108.7375,109.25,106.7305
GOOGL,1656993600000,107.1005,113.263,113.3768,105.7315
GOOGL,1657080000000,113.302,114.572,115.5895,111.476
GOOGL,1657166400000,115.08,118.783,119.1895,114.8335
GOOGL,1657252800000,117.25,119.3535,119.685,116.9013
GOOGL,1657512000000,117.998,115.6765,117.998,115.3305
GOOGL,1657598400000,116.215,114.0205,116.974,113.6902
GOOGL,1657684800000,111.701,111.3535,114.196,111.2015
GOOGL,1657771200000,110.2105,110.3675,111.093,108.373
GOOGL,1657857600000,112.0005,111.7775,113.1405,110.9
GOOGL,1658116800000,112.64,109.03,113.68,108.37
GOOGL,1658203200000,110.85,113.81,114.02,109.56
GOOGL,1658289600000,113.17,113.9,115.4,112.48
GOOGL,1658376000000,114.28,114.34,114.55,111.1132
GOOGL,1658462400000,111,107.9,112.34,106.5
GOOGL,1658721600000,108.41,107.51,109.87,106.3
GOOGL,1658808000000,106.6,105.02,107.2,104.07
GOOGL,1658894400000,109.26,113.06,113.91,108.01
GOOGL,1658980800000,112.37,114.22,114.34,111.46
GOOGL,1659067200000,113.08,116.32,116.705,113.06
GOOGL,1659326400000,115.3,114.86,116.72,114.34
GOOGL,1659412800000,114,115.13,116.35,113.72
GOOGL,1659499200000,115.71,118.08,118.62,115.48
