Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
MANU,1641186000000,14.26,14.68,14.68,14.25
MANU,1641272400000,14.76,14.66,14.81,14.6
MANU,1641358800000,14.65,14.61,14.78,14.52
MANU,1641445200000,14.58,14.88,15.05,14.56
MANU,1641531600000,14.88,14.76,14.94,14.71
MANU,1641790800000,14.72,14.71,14.92,14.45
MANU,1641877200000,14.77,14.81,14.83,14.68
MANU,1641963600000,14.85,14.67,15.01,14.66
MANU,1642050000000,14.6,14.5,14.77,14.45
MANU,1642136400000,14.54,14.17,14.6,14.08
MANU,1642482000000,14.08,14.06,14.39,14.04
MANU,1642568400000,14.05,13.95,14.185,13.89
MANU,1642654800000,13.92,13.72,14.005,13.69
MANU,1642741200000,13.61,13.51,13.6794,13.3608
MANU,1643000400000,13.35,13.52,13.54,13.1
MANU,1643086800000,13.4,13.25,13.48,13.11
MANU,1643173200000,13.28,13.21,13.4445,13.13
MANU,1643259600000,13.25,13.42,13.5,13.2
MANU,1643346000000,13.43,13.54,13.54,13.27
MANU,1643605200000,13.62,13.73,13.81,13.57
MANU,1643691600000,13.8,13.76,13.83,13.625
MANU,1643778000000,13.7,13.68,13.74,13.46
MANU,1643864400000,13.52,13.51,13.615,13.47
MANU,1643950800000,13.5,13.51,13.5736,13.39
MANU,1644210000000,13.45,13.56,13.57,13.34
MANU,1644296400000,13.63,13.69,13.72,13.52
MANU,1644382800000,13.75,13.75,13.84,13.67
MANU,1644469200000,13.7,14.08,14.11,13.6873
MANU,1644555600000,14.07,13.85,14.19,13.805
MANU,1644814800000,13.76,13.51,14,13.495
MANU,1644901200000,13.52,13.6,13.74,13.44
MANU,1644987600000,13.59,13.61,13.825,13.49
MANU,1645074000000,13.52,13.32,13.73,13.24
MANU,1645160400000,13.42,13.34,13.42,13.18
MANU,1645506000000,13.25,13.25,13.45,13.15
MANU,1645592400000,13.34,13.16,13.58,13.13
MANU,1645678800000,12.99,13.1,13.17,12.82
MANU,1645765200000,13.07,13.28,13.375,13.01
MANU,1646024400000,13.21,13.45,13.46,12.95
MANU,1646110800000,13.28,12.82,13.43,12.76
MANU,1646197200000,12.88,12.9,13.03,12.73
MANU,1646283600000,12.9,12.81,13,12.71
MANU,1646370000000,12.66,12.34,12.88,12.16
MANU,1646629200000,12.27,12.22,12.59,12.04
MANU,1646715600000,12.2,12.32,12.5499,12.16
MANU,1646802000000,12.45,12.45,12.625,12.36
MANU,1646888400000,12.4,12.68,12.77,12.31
MANU,1646974800000,12.69,12.6,12.77,12.545
MANU,1647230400000,12.64,12.54,12.8,12.51
MANU,1647316800000,12.67,12.51,12.76,12.4
MANU,1647403200000,12.45,12.59,12.76,12.4329
MANU,1647489600000,12.54,12.8,12.82,12.42
MANU,1647576000000,12.88,13.14,13.18,12.8
MANU,1647835200000,13.6,13.71,14.02,13.52
MANU,1647921600000,13.74,13.81,14.01,13.71
MANU,1648008000000,13.65,13.83,13.975,13.62
MANU,1648094400000,13.87,13.83,14.01,13.68
MANU,1648180800000,13.79,14.23,14.3175,13.67
MANU,1648440000000,14.22,14.65,14.77,14.22
MANU,1648526400000,14.7,14.63,14.78,14.45
