Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
MSFT,1641186000000,335.35,334.75,338,329.78
MSFT,1641272400000,334.83,329.01,335.2,326.12
MSFT,1641358800000,325.86,316.38,326.07,315.98
MSFT,1641445200000,313.15,313.88,318.7,311.49
MSFT,1641531600000,314.15,314.04,316.5,310.09
MSFT,1641790800000,309.485,314.27,314.72,304.69
MSFT,1641877200000,313.38,314.98,316.61,309.89
MSFT,1641963600000,319.67,318.27,323.41,317.08
MSFT,1642050000000,320.4658,304.8,320.88,304
MSFT,1642136400000,304.25,310.2,310.82,303.75
MSFT,1642482000000,304.07,302.65,309.8,301.74
MSFT,1642568400000,306.29,303.33,313.9093,302.7
MSFT,1642654800000,309.07,301.6,311.6494,301.14
MSFT,1642741200000,302.685,296.03,304.11,295.61
MSFT,1643000400000,292.2,296.37,297.11,276.05
MSFT,1643086800000,291.52,288.49,294.99,285.17
MSFT,1643173200000,307.985,296.71,308.5,293.03
MSFT,1643259600000,302.66,299.84,307.3,297.93
MSFT,1643346000000,300.23,308.26,308.48,294.45
MSFT,1643605200000,308.95,310.98,312.38,306.37
MSFT,1643691600000,310.41,308.76,310.63,305.1293
MSFT,1643778000000,309.63,313.46,315.12,308.88
MSFT,1643864400000,309.49,301.25,311.23,299.96
MSFT,1643950800000,300.21,305.94,308.8,299.97
MSFT,1644210000000,306.17,300.95,307.84,299.9
MSFT,1644296400000,301.25,304.56,305.561,299.95
MSFT,1644382800000,309.865,311.21,311.93,307.39
MSFT,1644469200000,304.04,302.38,309.12,300.7
MSFT,1644555600000,303.19,295.04,304.29,294.22
MSFT,1644814800000,293.77,295,296.76,291.35
MSFT,1644901200000,300.008,300.47,300.8,297.02
MSFT,1644987600000,298.365,299.5,300.87,293.68
MSFT,1645074000000,296.36,290.73,296.8,290
MSFT,1645160400000,293.05,287.93,293.86,286.305
MSFT,1645506000000,285,287.72,291.54,284.5
MSFT,1645592400000,290.18,280.27,291.7,280.1
MSFT,1645678800000,272.51,294.59,295.16,271.52
MSFT,1645765200000,295.14,297.31,297.63,291.655
MSFT,1646024400000,294.31,298.79,299.14,293
MSFT,1646110800000,296.4,294.95,299.97,292.15
MSFT,1646197200000,295.36,300.19,301.47,293.698
MSFT,1646283600000,302.89,295.92,303.13,294.05
MSFT,1646370000000,294.29,289.86,295.66,287.165
MSFT,1646629200000,288.53,278.91,289.69,278.53
MSFT,1646715600000,277.8,275.85,283.96,270
MSFT,1646802000000,283.44,288.5,289.6,280.78
MSFT,1646888400000,283.02,285.59,286.6,280.58
MSFT,1646974800000,287.96,280.07,289.51,279.43
MSFT,1647230400000,280.34,276.44,285.3992,275.82
MSFT,1647316800000,280.35,287.15,287.82,278.725
MSFT,1647403200000,289.11,294.39,294.57,283.2
MSFT,1647489600000,293.29,295.22,295.61,289.37
MSFT,1647576000000,295.37,300.43,301,292.73
MSFT,1647835200000,298.89,299.16,300.14,294.9
MSFT,1647921600000,299.8,304.06,305,298.77
MSFT,1648008000000,300.51,299.49,303.23,297.7201
MSFT,1648094400000,299.14,304.1,304.2,298.315
MSFT,1648180800000,305.23,303.68,305.5,299.2855
MSFT,1648440000000,304.33,310.7,310.8,304.33
