Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
RIO,1641186000000,67.5,66.73,67.61,66.42
RIO,1641272400000,67.2,67.52,68.3299,67.13
RIO,1641358800000,68.33,68.71,69.65,68.3
RIO,1641445200000,70.41,70.04,70.59,69.46
RIO,1641531600000,71.19,72.24,72.33,71.1399
RIO,1641790800000,71.9,72.71,72.8,71.5
RIO,1641877200000,72.55,74.42,74.43,72.28
RIO,1641963600000,76.07,76.07,76.67,75.64
RIO,1642050000000,76.19,75.66,76.69,75.57
RIO,1642136400000,74.91,75.4,75.71,74.66
RIO,1642482000000,74.71,75.73,75.92,74.45
RIO,1642568400000,77.9,77.92,78.76,77.74
RIO,1642654800000,78.3,76.16,78.36,76.1301
RIO,1642741200000,74.68,74.36,75.24,74.02
RIO,1643000400000,71.56,73.27,73.28,70.85
RIO,1643086800000,72.74,73.68,73.97,72.01
RIO,1643173200000,75,74.03,75.32,73.36
RIO,1643259600000,75.54,75.09,76.3838,74.59
RIO,1643346000000,74.85,73.13,74.91,71.855
RIO,1643605200000,71.15,71.4,71.57,70.25
RIO,1643691600000,72.44,74.2,74.275,72.39
RIO,1643778000000,73.94,74.29,74.415,73.35
RIO,1643864400000,74.39,73.47,74.59,73.45
RIO,1643950800000,73.96,73.89,74.11,73.365
RIO,1644210000000,74.69,76.64,76.99,74.32
RIO,1644296400000,77.25,78.1,78.18,76.33
RIO,1644382800000,78.05,78.33,78.43,77.3301
RIO,1644469200000,78.61,78.96,80.44,78.59
RIO,1644555600000,78.02,77.79,79.275,77.575
RIO,1644814800000,78.38,78.37,78.61,77.66
RIO,1644901200000,77.12,77.13,77.48,76.125
RIO,1644987600000,77.16,78.56,78.6398,77.1
RIO,1645074000000,77.26,76.68,77.59,76.24
RIO,1645160400000,77.6,77.63,77.93,77.19
RIO,1645506000000,78.22,77.77,79.09,77.34
RIO,1645592400000,77.19,77.5,77.57,76.18
RIO,1645678800000,74.37,75.42,75.55,73.61
RIO,1645765200000,74.84,77.96,78.025,74.76
RIO,1646024400000,77.16,78.58,79.14,77.1
RIO,1646110800000,80.25,80.03,81.45,79.09
RIO,1646197200000,82.72,83.54,83.78,82.32
