Símbolo,Fecha,Apertura,Cierre,Máximo,Mínimo
VALE,1641186000000,14.09,13.81,14.1293,13.81
VALE,1641272400000,13.84,13.55,13.87,13.54
VALE,1641358800000,13.68,13.66,13.93,13.585
VALE,1641445200000,13.98,14.01,14.14,13.87
VALE,1641531600000,14.11,14.81,14.825,14.11
VALE,1641790800000,14.85,14.65,14.88,14.525
VALE,1641877200000,14.88,15.24,15.25,14.8316
VALE,1641963600000,15.5,15.55,15.6,15.32
VALE,1642050000000,15.36,15.3,15.54,15.21
VALE,1642136400000,15.06,15.38,15.44,15.03
VALE,1642482000000,15.53,15.51,15.76,15.36
VALE,1642568400000,16.14,16.18,16.31,16.03
VALE,1642654800000,16.37,15.99,16.4,15.94
VALE,1642741200000,15.93,15.6,15.97,15.48
VALE,1643000400000,15.19,15.31,15.345,14.93
VALE,1643086800000,15.44,15.48,15.59,15.1206
VALE,1643173200000,15.845,15.53,15.85,15.375
VALE,1643259600000,15.79,15.57,15.88,15.36
VALE,1643346000000,15.87,15.58,15.95,15.3601
VALE,1643605200000,15.36,15.18,15.5,15.17
VALE,1643691600000,15.5,16.18,16.2,15.49
VALE,1643778000000,16.07,16.35,16.38,15.98
VALE,1643864400000,16.19,16.15,16.45,16.14
VALE,1643950800000,16.17,16.55,16.6,16.115
VALE,1644210000000,16.8,17.17,17.215,16.69
VALE,1644296400000,17.12,17.43,17.44,17.085
VALE,1644382800000,17.13,17.51,17.54,17.115
VALE,1644469200000,17.71,17.85,18.15,17.68
VALE,1644555600000,17.63,17.54,17.9299,17.48
VALE,1644814800000,17.6,17.49,17.605,17.36
VALE,1644901200000,17.24,17.14,17.27,16.83
VALE,1644987600000,17.34,17.44,17.5108,17.245
VALE,1645074000000,17.08,16.6,17.13,16.46
VALE,1645160400000,16.87,16.64,16.87,16.61
VALE,1645506000000,16.92,17.18,17.255,16.885
VALE,1645592400000,17.12,17.27,17.32,16.99
VALE,1645678800000,16.44,17.07,17.17,16.2937
VALE,1645765200000,16.73,17.82,17.9,16.72
VALE,1646024400000,17.6,18.49,18.5,17.6
VALE,1646110800000,18.56,18.86,19.46,18.56
VALE,1646197200000,19.12,19.47,19.5,18.73
VALE,1646283600000,19.98,19.84,20.12,19.66
VALE,1646370000000,19.45,20.15,20.16,19.3
VALE,1646629200000,20.76,20.6,20.955,20.4
VALE,1646715600000,20.47,19.82,20.47,19.67
VALE,1646802000000,18.72,18.72,18.86,18.42
VALE,1646888400000,18.66,19.31,19.34,18.62
VALE,1646974800000,19.4,19.07,19.58,19.055
VALE,1647230400000,18.61,17.8,18.69,17.79
VALE,1647316800000,17.28,17.24,17.4,16.95
VALE,1647403200000,17.91,17.75,17.96,17.34
VALE,1647489600000,18.25,18.7,18.8,18.12
VALE,1647576000000,18.55,19.06,19.08,18.455
VALE,1647835200000,19.63,19.94,20.0999,19.57
VALE,1647921600000,19.89,19.56,19.9,19.42
VALE,1648008000000,19.87,19.93,20.24,19.83
VALE,1648094400000,19.8,20.02,20.23,19.77
VALE,1648180800000,20.2,19.94,20.25,19.74
VALE,1648440000000,19.85,19.97,20.06,19.465
VALE,1648526400000,19.75,19.95,19.95,19.535
VALE,1648612800000,20.165,20.03,20.3,19.965
VALE,1648699200000,20.22,19.99,20.395,19.96
VALE,1648785600000,20.39,20.83,20.83,20.365
VALE,1649044800000,21.09,21.23,21.29,21.04
VALE,1649131200000,20.89,20.33,21.09,20.27
VALE,1649217600000,20.36,20.48,20.585,20.1628
VALE,1649304000000,20.23,20.48,20.585,20.1
VALE,1649390400000,20.42,20.1,20.47,19.92
VALE,1649649600000,20,20.01,20.1721,19.7637
VALE,1649736000000,20.5,19.93,20.55,19.89
VALE,1649822400000,19.91,19.91,20.05,19.75
VALE,1649908800000,19.7,19.48,19.7,19.29
VALE,1650254400000,19.39,19.33,19.5,19.24
VALE,1650340800000,18.89,18.75,19.05,18.55
VALE,1650427200000,18.47,18.45,18.57,18.08
VALE,1650513600000,18.34,17.65,18.36,17.44
VALE,1650600000000,17.66,16.7,17.66,16.6127
VALE,1650859200000,16.14,16.18,16.3,15.7
VALE,1650945600000,15.92,15.61,15.98,15.57
VALE,1651032000000,16.12,16.4,16.56,15.95
VALE,1651118400000,16.4,17,17.15,16.22
VALE,1651204800000,17.565,16.89,17.76,16.87
VALE,1651464000000,16.46,16.39,16.51,16
VALE,1651550400000,16.58,16.64,16.835,16.48
VALE,1651636800000,16.24,16.6,16.65,15.8936
VALE,1651723200000,16.52,16.01,16.54,15.68
VALE,1651809600000,15.73,15.72,16.04,15.345
VALE,1652068800000,15.1,14.81,15.225,14.77
VALE,1652155200000,15,14.7,15.035,14.515
VALE,1652241600000,15.27,15.24,15.64,15.175
VALE,1652328000000,14.84,15.15,15.21,14.64
VALE,1652414400000,15.19,15.42,15.58,15.14
VALE,1652673600000,15.67,15.84,15.98,15.67
VALE,1652760000000,16.38,16.11,16.405,15.885
VALE,1652846400000,15.73,15.62,15.8499,15.515
VALE,1652932800000,15.95,16.22,16.39,15.95
VALE,1653019200000,16.65,16.72,16.79,16.48
VALE,1653278400000,17.22,17.21,17.4,17.09
VALE,1653364800000,16.95,17.43,17.46,16.89
VALE,1653451200000,17.24,17.49,17.62,17.24
VALE,1653537600000,17.25,17.62,17.7556,17.205
VALE,1653624000000,17.89,18.09,18.1,17.8212
VALE,1653969600000,18.33,18.05,18.435,17.88
VALE,1654056000000,18.13,18.34,18.4756,18.03
VALE,1654142400000,18.63,18.81,18.84,18.53
VALE,1654228800000,18.62,18.54,18.73,18.37
VALE,1654488000000,18.73,18.54,18.785,18.45
VALE,1654574400000,18.21,18.65,18.65,18.19
VALE,1654660800000,18.54,17.89,18.59,17.75
VALE,1654747200000,17.56,17.09,17.58,17.07
VALE,1654833600000,16.64,16.86,17.04,16.5
VALE,1655092800000,16.15,15.89,16.19,15.6
VALE,1655179200000,15.94,15.83,16,15.69
VALE,1655265600000,15.95,16.26,16.425,15.87
VALE,1655352000000,15.71,15.52,15.84,15.28
VALE,1655438400000,15.26,14.93,15.315,14.75
VALE,1655784000000,14.9,14.72,15.1,14.7
VALE,1655870400000,14.19,14.48,14.73,14.15
VALE,1655956800000,14.74,13.92,14.74,13.845
VALE,1656043200000,13.985,14.2,14.23,13.745
VALE,1656302400000,14.67,14.88,15.105,14.5629
VALE,1656388800000,15.27,15.02,15.32,14.9338
VALE,1656475200000,15.19,15.19,15.28,14.85
VALE,1656561600000,14.72,14.63,14.855,14.49
VALE,1656648000000,14.24,14.15,14.36,13.79
VALE,1656993600000,13.61,13.79,13.8,13.41
VALE,1657080000000,13.78,13.79,13.9,13.445
VALE,1657166400000,14.415,14.49,14.6,14.34
VALE,1657252800000,14.61,14.25,14.64,14.17
VALE,1657512000000,13.73,13.5,13.75,13.48
VALE,1657598400000,13.22,13.38,13.49,13.16
VALE,1657684800000,13.41,13.46,13.68,13.28
VALE,1657771200000,12.85,12.49,12.86,12.4
VALE,1657857600000,12.4,12.65,12.689,12.25
VALE,1658116800000,12.96,12.7,13.09,12.66
VALE,1658203200000,12.68,12.7,12.87,12.62
VALE,1658289600000,12.38,12.43,12.44,12.2
VALE,1658376000000,12.31,12.51,12.54,12.235
VALE,1658462400000,12.955,12.59,13.015,12.55
VALE,1658721600000,12.96,13.15,13.19,12.9
VALE,1658808000000,13.24,13.14,13.28,12.97
VALE,1658894400000,13.16,13.48,13.49,13.01
VALE,1658980800000,13.79,13.66,13.9,13.48
VALE,1659067200000,13.29,13.46,13.53,13.06
VALE,1659326400000,13.26,13.14,13.5273,13.075
VALE,1659412800000,13.01,13.38,13.42,12.745
VALE,1659499200000,13.22,12.8,13.23,12.79
VALE,1659585600000,12.81,12.86,13.05,12.71
VALE,1659672000000,12.91,13.2,13.25,12.86
VALE,1659931200000,13.41,13.36,13.525,13.18
VALE,1660017600000,13.42,13.62,13.65,13.37
VALE,1660104000000,13.94,13.76,13.97,13.66
VALE,1660190400000,13.96,14.01,14.32,13.96
VALE,1660276800000,13.46,13.6,13.67,13.335
VALE,1660536000000,13.22,13.41,13.4455,13.05
VALE,1660622400000,13.56,13.58,13.725,13.45
VALE,1660708800000,13.17,13.21,13.3399,13.02
VALE,1660795200000,13.2,13.1,13.23,13.07
VALE,1660881600000,12.94,12.88,12.98,12.74
VALE,1661140800000,12.81,12.77,12.945,12.69
VALE,1661227200000,13.03,13.76,13.79,13.03
VALE,1661313600000,13.54,13.31,13.7478,13.23
VALE,1661400000000,13.37,13.54,13.57,13.29
VALE,1661486400000,13.845,13.45,13.92,13.36
VALE,1661745600000,13.31,13.25,13.42,13.2
VALE,1661832000000,13.11,12.63,13.12,12.56
VALE,1661918400000,12.58,12.42,12.67,12.4
VALE,1662004800000,12.18,12.15,12.185,11.815
VALE,1662091200000,12.29,12.17,12.455,12.09
VALE,1662436800000,12.465,12.14,12.51,12.1
VALE,1662523200000,12,12.27,12.335,11.7185
VALE,1662609600000,12.3,12.34,12.41,12.135
VALE,1662696000000,12.79,13.51,13.54,12.74
VALE,1662955200000,13.71,13.78,13.785,13.49
VALE,1663041600000,13.42,13.15,13.73,13.12
VALE,1663128000000,13.11,12.92,13.33,12.8
VALE,1663214400000,12.93,13.05,13.085,12.84
VALE,1663300800000,12.79,12.98,13.05,12.685
VALE,1663560000000,12.88,13.6,13.64,12.81
VALE,1663646400000,13.34,13.4,13.48,13.125
VALE,1663732800000,13.5,13.13,13.55,13.13
VALE,1663819200000,13.5,13.64,13.705,13.35
VALE,1663905600000,13.16,13.04,13.165,12.9
VALE,1664164800000,12.76,12.59,13,12.59
VALE,1664251200000,12.75,12.55,12.86,12.462
VALE,1664337600000,12.665,12.77,12.88,12.625
VALE,1664424000000,12.65,12.66,12.73,12.4
VALE,1664510400000,12.7,13.32,13.47,12.68
VALE,1664769600000,13.73,14.25,14.3,13.675
VALE,1664856000000,14.51,14.64,14.7591,14.305
VALE,1664942400000,14.72,14.8,14.93,14.625
VALE,1665028800000,14.63,14.51,14.88,14.38
VALE,1665115200000,14.64,14.42,15.19,14.35
VALE,1665374400000,14.54,14.09,14.54,14.05
VALE,1665460800000,13.85,13.85,14.19,13.785
VALE,1665547200000,13.77,13.66,13.9201,13.615
VALE,1665633600000,13.41,13.67,13.88,13.27
VALE,1665720000000,13.695,13.07,13.695,13.03
VALE,1665979200000,13.25,13.28,13.4991,13.18
VALE,1666065600000,13.67,13.64,13.79,13.315
VALE,1666152000000,13.56,13.45,13.66,13.34
VALE,1666238400000,13.405,13.74,14.04,13.36
VALE,1666324800000,13.7,14.33,14.43,13.61
VALE,1666584000000,13.92,13.5,13.94,13.42
VALE,1666670400000,13.33,13.55,13.78,13.3
VALE,1666756800000,13.46,13.74,14.02,13.45
VALE,1666843200000,13.3,13.37,13.665,13.05
VALE,1666929600000,12.75,12.64,12.9,12.465
VALE,1667188800000,12.6,12.94,13.24,12.565
VALE,1667275200000,13.405,13.43,13.755,13.29
VALE,1667361600000,13.3,12.77,13.395,12.75
VALE,1667448000000,13.03,13.11,13.18,12.81
VALE,1667534400000,14.13,14.39,14.57,13.99
VALE,1667797200000,14.28,13.9,14.33,13.88
VALE,1667883600000,14.16,14.42,14.565,14.05
VALE,1667970000000,14.28,14.07,14.53,13.9718
VALE,1668056400000,14.04,13.85,14.16,13.64
VALE,1668142800000,14.48,15.45,15.53,14.44
VALE,1668402000000,15.3,15.71,15.93,15.295
VALE,1668488400000,15.93,15.81,15.975,15.6
VALE,1668574800000,15.67,15.22,15.84,15.125
VALE,1668661200000,14.89,15.33,15.33,14.755
VALE,1668747600000,15.29,15.07,15.325,15
VALE,1669006800000,14.925,15.04,15.06,14.625
VALE,1669093200000,15.07,14.89,15.23,14.75
VALE,1669179600000,14.95,15.12,15.15,14.79
VALE,1669352400000,15.29,15.12,15.4183,15.02
VALE,1669611600000,15.02,15.17,15.27,14.96
